date,value,inverted_pct
2010-12-01,220.472,0.004535723357161
2011-01-01,221.187,0.004521061364365898
2011-02-01,221.898,0.004506575093060776
2011-03-01,223.046,0.00448338010993248
2011-04-01,224.093,0.004462433007724472
2011-05-01,224.806,0.004448279850181935
2011-06-01,224.806,0.004448279850181935
2011-07-01,225.395,0.0044366556489718045
2011-08-01,226.106,0.004422704395283628
2011-09-01,226.597,0.0044131210916296335
2011-10-01,226.75,0.004410143329658214
2011-11-01,227.169,0.004402009076942716
2011-12-01,227.223,0.0044009629306892345
2012-01-01,227.842,0.004389006416727381
2012-02-01,228.329,0.0043796451611490435
2012-03-01,228.807,0.004370495657912564
2012-04-01,229.187,0.0043632492244324505
2012-05-01,228.713,0.004372291911697193
2012-06-01,228.524,0.004375908000910189
2012-07-01,228.59,0.004374644560129489
2012-08-01,229.918,0.004349376734313973
2012-09-01,231.015,0.004328723243079454
2012-10-01,231.638,0.004317080962536371
2012-11-01,231.249,0.00432434302418605
2012-12-01,231.221,0.004324866685984405
2013-01-01,231.679,0.004316316973053233
2013-02-01,232.937,0.004293006263496138
2013-03-01,232.282,0.0043051118898580175
2013-04-01,231.797,0.004314119682308226
2013-05-01,231.893,0.004312333705631477
2013-06-01,232.445,0.004302092968229043
2013-07-01,232.9,0.004293688278231
2013-08-01,233.456,0.004283462408333905
2013-09-01,233.544,0.0042818483883122664
2013-10-01,233.669,0.004279557836084375
2013-11-01,234.1,0.004271678769756515
2013-12-01,234.719,0.004260413515735837
2014-01-01,235.288,0.004250110502873074
2014-02-01,235.547,0.004245437216351726
2014-03-01,236.028,0.004236785466131137
2014-04-01,236.468,0.004228902007882673
2014-05-01,236.918,0.004220869667986391
2014-06-01,237.231,0.004215300698475326
2014-07-01,237.498,0.004210561773151774
2014-08-01,237.46,0.00421123557651815
2014-09-01,237.477,0.004210934111513957
2014-10-01,237.43,0.004211767678894832
2014-11-01,236.983,0.004219711962461442
2014-12-01,236.252,0.004232768399844234
2015-01-01,234.747,0.004259905344903236
2015-02-01,235.342,0.004249135300966253
2015-03-01,235.976,0.004237719090076957
2015-04-01,236.222,0.0042333059579548055
2015-05-01,237.001,0.0042193914793608464
2015-06-01,237.657,0.004207744775032925
2015-07-01,238.034,0.004201080517909206
2015-08-01,238.033,0.00420109816706087
2015-09-01,237.498,0.004210561773151774
2015-10-01,237.733,0.004206399616376355
2015-11-01,238.017,0.004201380573656504
2015-12-01,237.761,0.004205904248383881
2016-01-01,237.652,0.004207833302475889
2016-02-01,237.336,0.004213435804092089
2016-03-01,238.08,0.004200268817204301
2016-04-01,238.992,0.0041842404766686755
2016-05-01,239.557,0.004174371861394157
2016-06-01,240.222,0.004162816061809493
2016-07-01,240.101,0.004164913932053594
2016-08-01,240.545,0.004157226298613565
2016-09-01,241.176,0.004146349553852788
2016-10-01,241.741,0.004136658655337737
2016-11-01,242.026,0.004131787493905613
2016-12-01,242.637,0.0041213829712698396
2017-01-01,243.618,0.004104787002602435
2017-02-01,244.006,0.004098259878855438
2017-03-01,243.892,0.004100175487510865
2017-04-01,244.193,0.004095121481778757
2017-05-01,244.004,0.004098293470598843
2017-06-01,244.163,0.004095624644192609
2017-07-01,244.243,0.004094283152434256
2017-08-01,245.183,0.0040785861988800205
2017-09-01,246.435,0.004057865157140828
2017-10-01,246.626,0.004054722535336907
2017-11-01,247.284,0.004043933291276427
2017-12-01,247.805,0.004035431084925647
2018-01-01,248.859,0.004018339702401762
2018-02-01,249.529,0.00400755022462319
2018-03-01,249.577,0.004006779470864703
